mapblklot,analysis_neighborhood,Historic,in_historic_district
3728171,South of Market,1,1
6339025,Excelsior,0,0
3568043,Mission,0,0
6408003,Excelsior,0,0
5617031,Bernal Heights,0,0
0151073,Nob Hill,0,0
6533005,Mission,0,0
3995057,Potrero Hill,0,0
0242025,Chinatown,1,1
3753493,South of Market,0,0
3706075,Financial District/South Beach,1,1
4142051,Mission,0,0
0256086,Nob Hill,0,0
6052015,Portola,0,0
5308013A,Bayview Hunters Point,0,0
4069045,Potrero Hill,0,0
3638037,Mission,1,1
5410019,Bayview Hunters Point,0,0
6359040,Visitacion Valley,0,0
6965A026,Outer Mission,0,0
5745045,Bernal Heights,0,0
0741003,Tenderloin,0,0
6997048,Oceanview/Merced/Ingleside,0,0
4151004,Mission,0,0
0838003,Hayes Valley,1,1
0116005,North Beach,1,1
5319014,Bayview Hunters Point,0,0
5743025,Bernal Heights,0,0
5723024,Bernal Heights,0,0
0158047,Nob Hill,0,0
6721011,Outer Mission,0,0
5904011,Excelsior,0,0
0284021,Nob Hill,1,1
4038027,Potrero Hill,0,0
3575107,Mission,0,0
0663006,Pacific Heights,1,1
0164004,North Beach,1,1
5660034,Bernal Heights,0,0
3755256,South of Market,0,0
4970005,Bayview Hunters Point,0,0
6969020,Outer Mission,0,0
3729097,South of Market,1,1
6272051,Excelsior,0,0
0224080,Chinatown,0,0
0142006,Financial District/South Beach,1,1
6209022,Visitacion Valley,0,0
5964019,Excelsior,0,0
6594040,Noe Valley,0,0
6518035,Mission,0,0
0191021,Chinatown,0,0
5523028,Bernal Heights,1,1
5900A005,Portola,0,0
4268032,Mission,0,0
5882034,Portola,0,0
7065012C,Outer Mission,0,0
5612044,Bernal Heights,0,0
3764071,Financial District/South Beach,1,1
5842039,Bernal Heights,0,0
0832074,Hayes Valley,1,1
